,,,,,,,,,,,
,,,,,,,,,,,
,,"
BdSL47 : Individual Results
",,,,,,,,,
,,"
Sign
",True Postitive ,True Negative,False Postitive ,False Negative,Total,Accuracy,F1-Score,Recall,Precision
,,0,189,9204,6,1,9400,0.9992553191,0.9818181818,0.9947368421,0.9692307692
,,1,192,9207,0,1,9400,0.999893617,0.9974025974,0.9948186528,1
,,2,195,9199,3,3,9400,0.9993617021,0.9848484848,0.9848484848,0.9848484848
,,3,189,9183,17,11,9400,0.9970212766,0.9310344828,0.945,0.9174757282
,,4,214,9185,0,1,9400,0.999893617,0.9976689977,0.9953488372,1
,,5,179,9221,0,0,9400,1,1,1,1
,,6,212,9187,1,0,9400,0.999893617,0.9976470588,1,0.9953051643
,,7,193,9200,1,6,9400,0.9992553191,0.9821882952,0.9698492462,0.9948453608
,,8,210,9185,1,4,9400,0.9994680851,0.9882352941,0.9813084112,0.9952606635
,,9,180,9209,7,4,9400,0.9988297872,0.9703504043,0.9782608696,0.9625668449
,,10,190,9209,1,0,9400,0.999893617,0.9973753281,1,0.9947643979
,,11,182,9216,1,1,9400,0.999787234,0.9945355191,0.9945355191,0.9945355191
,,12,210,9188,0,2,9400,0.999787234,0.9952606635,0.9905660377,1
,,13,188,9211,0,1,9400,0.999893617,0.9973474801,0.9947089947,1
,,14,190,9203,1,6,9400,0.9992553191,0.9819121447,0.9693877551,0.9947643979
,,15,197,9199,3,1,9400,0.9995744681,0.9899497487,0.9949494949,0.985
,,16,194,9206,0,0,9400,1,1,1,1
,,17,200,9200,0,0,9400,1,1,1,1
,,18,207,9185,3,5,9400,0.9991489362,0.981042654,0.9764150943,0.9857142857
,,19,194,9205,0,1,9400,0.999893617,0.9974293059,0.9948717949,1
,,20,171,9226,1,2,9400,0.9996808511,0.9913043478,0.9884393064,0.9941860465
,,21,178,9189,25,8,9400,0.9964893617,0.9151670951,0.9569892473,0.8768472906
,,22,204,9180,12,4,9400,0.9982978723,0.9622641509,0.9807692308,0.9444444444
,,23,192,9199,7,2,9400,0.9990425532,0.9770992366,0.9896907216,0.9648241206
,,24,205,9194,1,0,9400,0.999893617,0.99756691,1,0.9951456311
,,25,213,9186,0,1,9400,0.999893617,0.9976580796,0.9953271028,1
,,26,205,9159,2,34,9400,0.9961702128,0.9192825112,0.8577405858,0.9903381643
,,27,200,9198,1,1,9400,0.999787234,0.9950248756,0.9950248756,0.9950248756
,,28,222,9178,0,0,9400,1,1,1,1
,,29,189,9211,0,0,9400,1,1,1,1
,,30,206,9188,2,4,9400,0.9993617021,0.985645933,0.980952381,0.9903846154
,,31,182,9213,4,1,9400,0.9994680851,0.9864498645,0.9945355191,0.9784946237
,,32,163,9212,21,4,9400,0.9973404255,0.9287749288,0.9760479042,0.8858695652
,,33,217,9180,2,1,9400,0.9996808511,0.9931350114,0.995412844,0.9908675799
,,34,201,9197,1,1,9400,0.999787234,0.995049505,0.995049505,0.995049505
,,35,186,9212,1,1,9400,0.999787234,0.9946524064,0.9946524064,0.9946524064
,,36,205,9194,1,0,9400,0.999893617,0.99756691,1,0.9951456311
,,37,193,9193,11,3,9400,0.9985106383,0.965,0.9846938776,0.9460784314
,,38,184,9179,12,25,9400,0.9960638298,0.9086419753,0.8803827751,0.9387755102
,,39,202,9188,2,8,9400,0.9989361702,0.9758454106,0.9619047619,0.9901960784
,,40,209,9187,1,3,9400,0.9995744681,0.990521327,0.9858490566,0.9952380952
,,41,193,9200,4,3,9400,0.9992553191,0.9821882952,0.9846938776,0.9796954315
,,42,213,9185,0,2,9400,0.999787234,0.9953271028,0.9906976744,1
,,43,185,9179,35,1,9400,0.9961702128,0.9113300493,0.9946236559,0.8409090909
,,44,187,9189,3,21,9400,0.9974468085,0.9396984925,0.8990384615,0.9842105263
,,45,182,9184,9,25,9400,0.9963829787,0.9145728643,0.8792270531,0.9528795812
,,46,205,9195,0,0,9400,1,1,1,1
,,,,,,,,,,,
,,,,,,,,,,,
,,"
Total Signs
","Σ(TP)
Sum(True Postitive) ","Σ(TN)
Sum(True Negative) ","Σ(FP)
Sum(False Postitive) ","Σ(FN)
Sum(False Negative) ",,Σ(Accuracy),Σ(F1-Score),Σ(Recall),Σ(Precision)
,,47,9197,432197,203,203,,46.95680851,45.98581392,46.02134886,45.99356886
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,"
BdSL47 : Cumulative Results
",,,,,,,,
,,,Micro-Accuracy,Eq.1 : Σ(TP)+Σ(TN),,441394,Micro-Scores,Micro-Recall,Eq.5 : Σ(TP),,9197
,,,,Eq.2 : Σ(TP)+Σ(TN)+Σ(FP)+Σ(FN),,441800,,,Eq.6 : Σ(TP)+Σ(FN),,9400
,,,,Micro-Accuracy = Eq.1 / Eq.2 ,,0.9990810321,,,Micro-Recall = Eq.5 / Eq.6,,0.9784042553
,,,Micro-Precision,Eq.3 : Σ(TP),,9197,,Micro-F1-Score,Eq.7 : 2*Precision*Recall,,1.914549774
,,,,Eq.4 : Σ(TP)+Σ(FP),,9400,,,Eq. 8 : Precision+Recall,,1.956808511
,,,,Micro-Precision = Eq.3 / Eq.4,,0.9784042553,,,Micro-F1-Score = Eq.7 / Eq.8,,0.9784042553
,,,,,,,,,,,
,,,,,,,,,,,
,,,Macro-Accuracy,Eq.9 : Σ(Accuracy),,46.95680851,Macro-Scores,Macro-Recall,Eq.13 : Σ(Recall),,46.02134886
,,,,Eq.10 : Total Signs,,47,,,Eq.14 : Total Signs,,47
,,,,Macro-Accuracy = Eq.9 / Eq.10 ,,0.9990810321,,,Macro-Recall = Eq.13 / Eq.14,,0.9791776353
,,,Macro-Precision,Eq.11: Σ(Precision),,45.99356886,,Macro-F1-Score,Σ(F1-Score),,45.98581392
,,,,Eq.12 : Total Signs,,47,,,Eq. 16 : Total Signs,,47
,,,,Macro-Precision = Eq.11 / Eq.12,,0.9785865715,,,Macro-F1-Score = Eq.15 / Eq.16,,0.9784215729